stockid,areaid,stocklong,countries,region,cost_value,MSYbest,lnMSY,final_value,IUCNstatus
GRSHRIMPMEDGSA18-19,multinational-GFCM-GSA18-19,Giant red shrimp South Adriatic Sea and West Ionian Sea,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
GRSHRIMPMEDGSA9,multinational-GFCM-GSA9,Giant red shrimp Ligurian and North Tyrrhenian Sea,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
GRSPROCKNCAL,USA-NMFS-PCOAST,Greenspotted rockfish Pacific Coast North,USA,US West Coast,0.895502963,58.8,10.98189713,9.834321428,NS
GRSPROCKSCAL,USA-NMFS-PCOAST,Greenspotted rockfish Pacific Coast South,USA,US West Coast,0.895502963,55.9,10.93131966,9.789029149,NS
GSTRGZRSTA7,New Zealand-MFish-STA7,Giant stargazer NZ Area STA7,New Zealand,New Zealand,1.048024352,608,13.31793016,13.95751513,NS
GTRIGGM,USA-NMFS-GM,Gray triggerfish Gulf of Mexico,USA,US Southeast and Gulf,0.895502963,446.5205007,13.00924059,11.6498135,NS
HAD4X5Y,Canada-DFO-4X5Y,Haddock NAFO-4X5Y,Canada,Canada East Coast,0.85047205,14700,16.50335805,14.03564475,NS
HAD5Y,USA-NMFS-5Y,Haddock NAFO-5Y,USA,US East Coast,0.895502963,1083,13.89524553,12.44323355,NS
HADFAPL,multinational-ICES-Vb1,Haddock Faroe Plateau,multinational,Europe non EU,1.440764411,35000,17.37085862,25.02731489,NS
HADGB,USA-NMFS-GB,Haddock Georges Bank,USA,US East Coast,0.895502963,24900,17.03037836,15.25075429,NS
HADICE,multinational-ICES-Va,Haddock Iceland,multinational,Europe non EU,1.440764411,NA,NA,NA,NS
HADIS,multinational-ICES-VIIa,Haddock Irish Sea,multinational,European Union,2.038476184,NA,NA,NA,NS
HADNEAR,multinational-ICES-I-II,Haddock Northeast Arctic,multinational,Europe non EU,1.440764411,NA,NA,NA,NS
HADNS-IIIa-VIa,multinational-ICES-NS-IIIa-VIa,Haddock North Sea and IIIa-VIa,multinational,European Union,1.440764411,NA,NA,NA,NS
HADROCK,multinational-ICES-VIb,Haddock Rockall Bank,multinational,European Union,2.038476184,9000,16.01273514,32.64157922,NS
HADVIIb-k,multinational-ICES-VIIb-k,Haddock ICES VIIb-k,multinational,European Union,2.038476184,NA,NA,NA,NS
HAKEMEDGSA1-7,multinational-GFCM-GSA1-7,Hake Geographical Sub-Areas 1-7,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
HAKEMEDGSA15-16,multinational-GFCM-GSA15-16,Hake Malta Island and South of Sicily,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
HAKEMEDGSA17-18,multinational-GFCM-GSA17-18,Hake Adriatic Sea,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
HAKEMEDGSA19,multinational-GFCM-GSA19,Hake Western Ionian Sea,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
HAKEMEDGSA20,multinational-GFCM-GSA20,Hake Eastern Ionian Sea,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
HAKEMEDGSA22-23,multinational-GFCM-GSA22-23,Hake Aegean Sea and Crete Island,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
HAKEMEDGSA9-11,multinational-GFCM-GSA9-11,Hake Geographical Sub-Areas 9-11,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
HAKENRTN,multinational-ICES-IIIa-IV-VI-VII-VIIIabd,Hake Northeast Atlantic North,multinational,European Union,2.038476184,NA,NA,NA,NS
HAKESOTH,multinational-ICES-VIIIc-IXa,Hake Northeast Atlantic South,multinational,European Union,2.038476184,NA,NA,NA,NS
HERR2224IIIa,multinational-ICES-22-24-IIIa,Herring ICES 22-24-IIIa,multinational,European Union,2.038476184,NA,NA,NA,NS
HERR2529-32,multinational-ICES-2529-32,Herring Subdivisions 25-29 and 32,multinational,European Union,2.038476184,NA,NA,NA,NS
HERR30-31,multinational-ICES-30-31,Herring Subdivisions 30-31,multinational,European Union,2.038476184,NA,NA,NA,NS
HERR4RFA,Canada-DFO-4R,Herring NAFO 4R fall spawners,Canada,Canada East Coast,0.85047205,NA,NA,NA,NS
HERR4RSP,Canada-DFO-4R,Herring NAFO 4R spring spawners,Canada,Canada East Coast,0.85047205,NA,NA,NA,NS
HERR4TFA,Canada-DFO-4T,Herring NAFO 4T fall spawners,Canada,Canada East Coast,0.85047205,NA,NA,NA,NS
HERR4TSP,Canada-DFO-4T,Herring NAFO 4T spring spawners,Canada,Canada East Coast,0.85047205,NA,NA,NA,NS
HERR4VWX,Canada-DFO-4VWX,Herring Scotian Shelf and Bay of Fundy,Canada,Canada East Coast,0.85047205,NA,NA,NA,NS
HERRIsum,multinational-ICES-Va,Herring Iceland (Summer spawners),multinational,Europe non EU,1.440764411,NA,NA,NA,NS
HERRNIRS,multinational-ICES-VIIa,Herring Northern Irish Sea,multinational,European Union,2.038476184,NA,NA,NA,NS
HERRNORSS,multinational-ICES-I-II-IVa-V-XIVa,Norwegian Spring Spawning Herring,multinational,Europe non EU,1.440764411,NA,NA,NA,NS
HERRNS-IIIa-VIId,multinational-ICES-IIIa-IV-VIId,"Herring IIIa, VIId and North Sea",multinational,European Union,2.038476184,NA,NA,NA,NS
HERRNWATLC,USA-NMFS-NWATLC,Atlantic herring Northwestern Atlantic Coast,USA,US East Coast,0.895502963,77247,18.16251864,16.26458926,NS
HERRPWS,USA-AKSTATE-PWS,Pacific herring Prince William Sound,USA,US Alaska,0.895502963,NA,NA,NA,NS
HERRRIGA,multinational-ICES-28,Herring ICES 28,multinational,European Union,2.038476184,NA,NA,NA,NS
HERRSIRS,multinational-ICES-VIIa-g-h-j,Herring ICES VIIa-g-h-j,multinational,European Union,2.038476184,NA,NA,NA,NS
HERRSITKA,USA-AKSTATE-SITKA,Pacific herring Sitka,USA,US Alaska,0.895502963,NA,NA,NA,NS
HERRVIa,multinational-ICES-VIa,Herring ICES VIa,multinational,European Union,2.038476184,NA,NA,NA,NS
HERRVIaVIIbc,multinational-ICES-VIa-VIIb-VIIc,Herring ICES VIa-VIIb-VIIc,multinational,European Union,2.038476184,NA,NA,NA,NS
HMACKIIa-IVa-Vb-VIa-VII-VIII,multinational-ICES-IIa-IVa-Vb-VIa-VII-VIII,Horse mackerel IIa-IVa-Vb-VIa-VII-VIII,multinational,European Union,2.038476184,NA,NA,NA,NS
HMACKIXa,multinational-ICES-IXa,Horse mackerel Portugese Waters -East,multinational,European Union,2.038476184,NA,NA,NA,NS
HMACKWA,multinational-FAO-WA,Horse Mackerel West Africa,multinational,West Africa,2.595856662,NA,NA,NA,NS
HOKIENZ,New Zealand-MFish-ENZ,Hoki Eastern New Zealand,New Zealand,New Zealand,1.048024352,73100,18.10733892,18.97693214,NS
HOKIWNZ,New Zealand-MFish-WNZ,Hoki Western New Zealand,New Zealand,New Zealand,1.048024352,119800,18.60133424,19.49465127,NS
JAMBERJPN,Japan-FAJ-JPN,Japanese amberjack Japan,Japan,Russia Japan,1.025237182,134880.3277,18.71989848,19.19233596,LC
JANCHOPJPN,Japan-FAJ-PJPN,Japanese anchovy Pacific Coast of Japan,Japan,Russia Japan,1.025237182,265609.5972,19.39753811,19.8870773,LC
JANCHOSETO,Japan-FAJ-SETO,Japanese anchovy Inland Sea of Japan,Japan,Russia Japan,1.025237182,69571.404,18.05786418,18.51359378,LC
JANCHOTSST,Japan-FAJ-TSST,Japanese anchovy Tsushima Strait,Japan,Russia Japan,1.025237182,149715.1118,18.82424479,19.29931568,LC
JCSQUIDJPNAR,Japan-FAJ-JPNAR,Japanese flying squid Japan Autumn recruitment,Japan,Russia Japan,1.025237182,300926.458,19.52237647,20.01506623,LC
JCSQUIDJPNWR,Japan-FAJ-JPNWR,Japanese flying squid Japan Winter recruitment,Japan,Russia Japan,1.025237182,222668.703,19.22119559,19.70628439,LC
JMACKPJPN,Japan-FAJ-PJPN,Japanese jack mackerel Pacific Coast of Japan,Japan,Russia Japan,1.025237182,70940.57896,18.07735317,18.53357462,NT
JMACKTSST,Japan-FAJ-TSST,Japanese jack mackerel Tsushima Strait,Japan,Russia Japan,1.025237182,175541.5181,18.98338614,19.46247331,NT
JPUFFIMKB,Japan-FAJ-IMKB,Japanese pufferfish Ise and Mikawa Bay,Japan,Russia Japan,1.025237182,133.7354381,11.80361878,12.10150886,NT
JPUFFSOJECSSI,Japan-FAJ-SOJECSSI,Japanese pufferfish Sea of Japan and East China Sea and Seto Inland sea,Japan,Russia Japan,1.025237182,257.5122692,12.45882265,12.77324822,NT
KCROCKNPAC,Japan-FAJ-NPAC,Kichiji rockfish North Pacific,Japan,Russia Japan,1.025237182,743.568,13.5192155,13.8604024,NS
KELPGREENLINGORECOAST,USA-NMFS-ORECOAST,Kelp greenling Oregon Coast,USA,US West Coast,0.895502963,130,11.77528973,10.54480685,NS
KINGKLIPSA,South Africa-DETMCM-SA,Kingklip South Africa,South Africa,South Africa,1.91096113,5855,15.58280656,29.77813762,NS
KMACKGM,USA-NMFS-GM,King mackerel Gulf of Mexico,USA,US Southeast and Gulf,0.895502963,NA,NA,NA,NS
KMACKSATLC,USA-NMFS-SATLC,King mackerel Southern Atlantic Coast,USA,US Southeast and Gulf,0.895502963,NA,NA,NA,NS
KMFLOUNBSAI,USA-NMFS-BSAI,Kamchatka flounder Bering Sea and Aleutian Islands,USA,US Alaska,0.895502963,NA,NA,NA,NS
LINGCODNPCOAST,USA-NMFS-NPCOAST,Lingcod Northern Pacific Coast,USA,US West Coast,0.895502963,1734,14.36594144,12.86474313,NS
LINGCODSOG,Canada-DFO-SOG,Lingcod Strait of Georgia,Canada,Canada West Coast,0.85047205,763,13.54501331,11.51965523,NS
LINGCODSPCOAST,USA-NMFS-SPCOAST,Lingcod Southern Pacific Coast,USA,US West Coast,0.895502963,1678,14.33311317,12.83534532,NS
LINGVa,multinational-ICES-Va,Ling Iceland Grounds,multinational,European Union,2.038476184,NA,NA,NA,NS
LISQUIDATLC,USA-NMFS-ATLC,Longfin inshore squid Atlantic Coast,USA,US Southeast and Gulf,0.895502963,NA,NA,NA,NS
LNOSESKAPCOAST,USA-NMFS-PCOAST,Longnose skate Pacific Coast,USA,US West Coast,0.895502963,1268,14.05295141,12.58445964,LC
LOBSTERGB,USA-NMFS-5Z,American lobster Georges Bank,USA,US East Coast,0.895502963,NA,NA,NA,NS
LOBSTERGOM,USA-NMFS-5Y,American lobster Gulf of Maine,USA,US East Coast,0.895502963,NA,NA,NA,NS
LOBSTERSNE,USA-NMFS-SNE,American lobster Southern New England,USA,US East Coast,0.895502963,NA,NA,NA,NS
LSTHORNHPCOAST,USA-NMFS-PCOAST,Longspine thornyhead Pacific Coast,USA,US West Coast,0.895502963,2529,14.74333453,13.20269976,NS
MACKNEICES,multinational-ICES-IIa-IIIabd-IV-Vb-VI-VII-VIIIabcde-XII-XIV-Ixa,Mackerel ICES Northeast Atlantic,multinational,European Union,2.038476184,NA,NA,NA,NS
MEG8c9a,multinational-ICES-VIIIc-IXa,Megrim ICES VIIIc-IXa,multinational,European Union,2.038476184,NA,NA,NA,NS
MEGVII-VIIIabd,multinational-ICES-VII-VIIIabd,Megrim VII-VIIIabd,multinational,European Union,2.038476184,NA,NA,NA,NS
MENATGM,USA-NMFS-GM,Gulf menhaden Gulf of Mexico,USA,US Southeast and Gulf,0.895502963,NA,NA,NA,NS
MENATLAN,USA-NMFS-ATL,Atlantic menhaden Atlantic,USA,US East Coast,0.895502963,NA,NA,NA,NS
MHMACKMEDGSA29,multinational-GFCM-GSA29,Mediterranean horse mackerel Black Sea,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
MONKGOMNGB,USA-NMFS-GOMNGB,Monkfish Gulf of Maine / Northern Georges Bank,USA,US East Coast,0.895502963,9383,16.0544101,14.37677182,NS
MONKSGBMATL,USA-NMFS-SGBMATL,Monkfish Southern Georges Bank / Mid-Atlantic,USA,US East Coast,0.895502963,14328,16.47772622,14.75585266,NS
MORWONGESE,Australia-AFMA-ESE,Jackass morwong Eastern half of Southeast Australia,Australia,Australia,1.193009991,468.41264,13.0571049,15.57725659,NS
MORWONGWSE,Australia-AFMA-WSE,Jackass morwong Western half of Southeast Australia,Australia,Australia,1.193009991,185.2761677,12.12960279,14.47073731,NS
MULLQNSW,Australia-DPIF-QNSW,Sea Mullet Queensland and New South Wales,Australia,Australia,1.193009991,NA,NA,NA,NS
MUTSNAPSATLCGM,USA-NMFS-SATLCGM,Mutton snapper Southern Atlantic coast and Gulf of Mexico,USA,US Southeast and Gulf,0.895502963,413.9,12.93337968,11.58187983,NT
NEPHFU11,multinational-ICES-FU11,Norway lobster North Minch (FU 11),multinational,European Union,2.038476184,NA,NA,NA,NS
NEPHFU12,multinational-ICES-FU12,Norway lobster South Minch (FU 12),multinational,European Union,2.038476184,NA,NA,NA,NS
NEPHFU13,multinational-ICES-FU13,Norway lobster Firth of Clyde and Sound of Jura (FU 13),multinational,European Union,2.038476184,NA,NA,NA,NS
NEPHFU14,multinational-ICES-FU14,Norway lobster Irish Sea East (FU 14),multinational,European Union,2.038476184,NA,NA,NA,NS
NEPHFU15,multinational-ICES-FU15,Norway lobster Irish Sea West (FU 15),multinational,European Union,2.038476184,NA,NA,NA,NS
NEPHFU16,multinational-ICES-FU16,Norway lobster Porcupine Bank (FU 16),multinational,European Union,2.038476184,NA,NA,NA,NS
NEPHFU17,multinational-ICES-FU17,Norway lobster Aran Grounds (FU 17),multinational,European Union,2.038476184,NA,NA,NA,NS
NEPHFU19,multinational-ICES-FU19,Norway lobster South East and West of IRL (FU 19),multinational,European Union,2.038476184,NA,NA,NA,NS
NEPHFU2021,multinational-ICES-FU2021,"Norway lobster Labadie, Jones and Cockburn (FU 20-21)",multinational,European Union,2.038476184,NA,NA,NA,NS
NEPHFU22,multinational-ICES-FU22,Norway lobster Smalls (FU 22),multinational,European Union,2.038476184,NA,NA,NA,NS
NEPHFU2829,multinational-ICES-FU2829,Norway lobster South-West and South Portugal (FU 28-29),multinational,European Union,2.038476184,NA,NA,NA,NS
NEPHFU3-4,multinational-ICES-FU3-4,Norway lobster Skagerak Kattegat (FU 3-4),multinational,European Union,2.038476184,NA,NA,NA,NS
NEPHFU6,multinational-ICES-FU6,Norway lobster Farn Deeps (FU 6),multinational,European Union,2.038476184,NA,NA,NA,NS
NEPHFU7,multinational-ICES-FU7,Norway lobster Fladen Ground (FU 7),multinational,European Union,2.038476184,NA,NA,NA,NS
NEPHFU8,multinational-ICES-FU8,Norway lobster Firth of Forth (FU 8),multinational,European Union,2.038476184,NA,NA,NA,NS
NEPHFU9,multinational-ICES-FU9,Norway lobster Moray Firth (FU 9),multinational,European Union,2.038476184,NA,NA,NA,NS
NEPHMEDGSA1,multinational-GFCM-GSA1,Norway lobster Northern Alboran Sea,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
NEPHMEDGSA15-16,multinational-GFCM-GSA15-16,Norway lobster Malta Island and South of Sicily,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
NEPHMEDGSA17-18,multinational-GFCM-GSA17-18,Norway lobster Adriatic Sea,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
NEPHMEDGSA5,multinational-GFCM-GSA5,Norway Lobster Balearic Island,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
NEPHMEDGSA6,multinational-GFCM-GSA6,Norway lobster Northern Spain,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
NEPHMEDGSA9,multinational-GFCM-GSA9,Norway lobster Ligurian and North Tyrrhenian Sea,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
NEPHVIIIab,multinational-ICES-VIIIab,Norway lobster VIIIab,multinational,European Union,2.038476184,NA,NA,NA,NS
NPOUTIIIa-IV,multinational-ICES-IIIa-IV,Norway pout IIIa and North Sea,multinational,European Union,2.038476184,NA,NA,NA,NS
NROCKBSAI,USA-NMFS-BSAI,Northern rockfish Bering Sea and Aleutian Islands,USA,US Alaska,0.895502963,NA,NA,NA,NS
NROCKGA,USA-NMFS-GA,Northern rockfish Gulf of Alaska,USA,US Alaska,0.895502963,6070,15.61886916,13.98674362,NS
NRSOLEEBSAI,USA-NMFS-EBSAI,Northern rock sole Eastern Bering Sea and Aleutian Islands,USA,US Alaska,0.895502963,259310,19.37353482,17.34905784,NS
NRSOLEGA,USA-NMFS-GA,Northern rock sole Gulf of Alaska,USA,US Alaska,0.895502963,NA,NA,NA,NS
NSHRIMPCSCH,Chile-SUBPESCA-CH-CS,Nylon shrimp Central-Southern Chile,Chile,South America,1.787019342,NA,NA,NA,NS
NSHRIMPNCH,Chile-SUBPESCA-CH-N,Nylon shrimp Northern Chile,Chile,South America,1.787019342,NA,NA,NA,NS
NZLINGESE,Australia-AFMA-SE,New Zealand ling Eastern half of Southeast Australia,Australia,Australia,1.193009991,NA,NA,NA,NS
NZLINGLIN3-4,New Zealand-MFish-LIN3-4,New Zealand ling New Zealand Areas LIN 3 and 4,New Zealand,New Zealand,1.048024352,6424,15.67555153,16.42835974,NS
NZLINGLIN5-6,New Zealand-MFish-LIN5-6,New Zealand ling New Zealand Areas LIN 5 and 6,New Zealand,New Zealand,1.048024352,23827,16.98632995,17.80208744,NS
NZLINGLIN6b,New Zealand-MFish-LIN6b,New Zealand ling New Zealand Area LIN 6b,New Zealand,New Zealand,1.048024352,893.8449,13.70328755,14.36137905,NS
NZLINGLIN72,New Zealand-MFish-LIN72,New Zealand ling New Zealand Area LIN 72,New Zealand,New Zealand,1.048024352,544.244,13.20715295,13.84141792,NS
NZLINGLIN7WC,New Zealand-MFish-LIN7WC-WCSI,New Zealand ling New Zealand Area LIN 7WC - WCSI,New Zealand,New Zealand,1.048024352,5150,15.45450727,16.19669997,NS
NZLINGWSE,Australia-AFMA-WSE,New Zealand ling Western half of Southeast Australia,Australia,Australia,1.193009991,NA,NA,NA,NS
NZSNAPNZ1BOP-HAGU,New Zealand-MFish-SNA1-BOP-HAGU,New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,New Zealand,New Zealand,1.048024352,NA,NA,NA,NS
NZSNAPNZ1ENLD,New Zealand-MFish-SNA-1-ENLD,New Zealand snapper New Zealand SNA 1 east Northland,New Zealand,New Zealand,1.048024352,NA,NA,NA,NS
NZSNAPNZ7,New Zealand-MFish-SNA-7,New Zealand snapper New Zealand SNA 7,New Zealand,New Zealand,1.048024352,699,13.45740602,14.10368923,NS
NZSNAPNZ8,New Zealand-MFish-8,New Zealand snapper New Zealand Area 8,New Zealand,New Zealand,1.048024352,2284.7076,14.64174861,15.3449091,NS
OFLOUNECS,Japan-FAJ-ECS,Japanese flounder East China Sea,Japan,Russia Japan,1.025237182,1181.763806,13.98251863,14.335398,NS
OFLOUNNSJ,Japan-FAJ-NSJ,Japanese flounder Sea of Japan North,Japan,Russia Japan,1.025237182,1556.224123,14.25777301,14.61759902,NS
OFLOUNPAC,Japan-FAJ-PAC,Japanese flounder Pacific Ocean,Japan,Russia Japan,1.025237182,2156.174,14.58384591,14.95190108,NS
OFLOUNSETO,Japan-FAJ-SETO,Japanese flounder Inland Sea of Japan,Japan,Russia Japan,1.025237182,874.6563098,13.6815863,14.02687098,NS
OPOUTNWATLC,USA-NMFS-NWATLC,Ocean pout Northwestern Atlantic Coast,USA,US East Coast,0.895502963,3754,15.1383325,13.55642161,NS
OROUGHYCASCADE,Australia-AFMA-CASCADE,Orange roughy Cascade Plateau,Australia,Australia,1.193009991,NA,NA,NA,VU
OROUGHYCH,multinational-SPRFMO-CH,Orange roughy Chile,multinational,South America,1.125724334,NA,NA,NA,VU
OROUGHYESCR,New Zealand-MFish-ESCR,Orange roughy East and South Chatham Rise,New Zealand,New Zealand,1.048024352,8640,15.97191314,16.73895392,VU
OROUGHYNWCR,New Zealand-MFish-NWCR,Orange roughy Northwest Chatham Rise,New Zealand,New Zealand,1.048024352,1386,14.14193246,14.8210896,VU
OROUGHYNZ7A,New Zealand-MFish-NZ7A,Orange roughy New Zealand Challenger Plateau,New Zealand,New Zealand,1.048024352,1848,14.42961453,15.12258742,VU
OROUGHYNZMEC,New Zealand-MFish-NZMEC,Orange roughy New Zealand Mid East Coast,New Zealand,New Zealand,1.048024352,2214,14.61031139,15.31196213,VU
OROUGHYSE,Australia-AFMA-SE,Orange roughy Southeast Australia,Australia,Australia,1.193009991,2191.690032,14.60018351,17.41816479,VU
PACBTUNA,multinational-ISC-PAC,Pacific bluefin tuna Pacific Ocean,multinational,Pacific Ocean,1.250825983,17345,16.66881484,20.84978671,VU
PANCHCCH,Chile-SUBPESCA-CH-C,Peruvian Anchoveta Central Chile,Chile,South America,1.787019342,NA,NA,NA,NS
PANCHCSCH,Chile-SUBPESCA-CH-CS,Peruvian Anchoveta Central-Southern Chile,Chile,South America,1.787019342,NA,NA,NA,NS
PANCHNCHSP,Chile-SUBPESCA-NCH-SP,Peruvian Anchoveta Northern Chile Southern Peru,Chile,South America,1.787019342,NA,NA,NA,NS
PANCHPERUNC,Peru-IMARPE-NC,Peruvian anchoveta North-Central Peru,Peru,South America,2.550994847,NA,NA,NA,NS
PANDALGOM,USA-NMFS-5Y,Northern shrimp Gulf of Maine,USA,US East Coast,0.895502963,NA,NA,NA,NS
PANDALI-II,multinational-ICES-I-II,Northern shrimp North-East Arctic,multinational,Europe non EU,1.440764411,NA,NA,NA,NS
PANDALIIIaW-IVaE,multinational-ICES-IIIaW-IVaE,Northern shrimp IIIa (west) and IVa (east),multinational,European Union,2.038476184,NA,NA,NA,NS
PANDALSFA4,Canada-DFO-SFA4,Northern shrimp SFA 4,Canada,Canada East Coast,0.85047205,NA,NA,NA,NS
PANDALSFA5,Canada-DFO-SFA5,Northern shrimp SFA 5,Canada,Canada East Coast,0.85047205,NA,NA,NA,NS
PANDALSFA6,Canada-DFO-SFA6,Northern shrimp SFA 6,Canada,Canada East Coast,0.85047205,NA,NA,NA,NS
PATGRENADIERCH,Chile-SUBPESCA-CH-CS,Patagonian grenadier Chile,Chile,South America,1.787019342,NA,NA,NA,NS
PATGRENADIERSARG,Argentina-CFP-ARG-S,Patagonian grenadier Southern Argentina,Argentina,South America,1.349326297,132131,18.69930441,25.23146318,NS
PAUANPAU5A,New Zealand-MFish-NPAU5A,Black Foot Paua NZ North PAUA5A,New Zealand,New Zealand,1.048024352,73,11.19821472,11.73600173,NS
PAUAPAU5B,New Zealand-MFish-PAU5B,New Zealand abalone species New Zealand Area PAU 5B,New Zealand,New Zealand,1.048024352,190,12.15477935,12.73850475,NS
PAUAPAU5D,New Zealand-MFish-PAU5D,New Zealand abalone species New Zealand Area PAU 5D,New Zealand,New Zealand,1.048024352,121,11.70354582,12.26560103,NS
PAUAPAU7,New Zealand-MFish-PAU7,New Zealand abalone species New Zealand Area PAU 7,New Zealand,New Zealand,1.048024352,207,12.24047407,12.82831491,NS
PAUASPAU5A,New Zealand-MFish-SPAU5A,Black Foot Paua NZ South PAUA5A,New Zealand,New Zealand,1.048024352,57,10.95080655,11.47671194,NS
PCEELARGS,Argentina-CFP-ARG-S,Pink Cusk-eel Southern Argentina,Argentina,South America,1.349326297,11700,16.2750994,21.96041961,NS
PCEELCSCH,Chile-SUBPESCA-CH-CS,Pink cusk-eel Central-Southern Chile,Chile,South America,1.787019342,NA,NA,NA,NS
PCEELSCH,Chile-SUBPESCA-CH-S,Pink cusk-eel Southern Chile,Chile,South America,1.787019342,NA,NA,NA,NS
PCOD5AB,Canada-DFO-5AB,Pacific cod Queen Charlotte Sound,Canada,Canada West Coast,0.85047205,763.3,13.54540642,11.51998956,NS
PCODBS,USA-NMFS-BS,Pacific cod Bering Sea,USA,US Alaska,0.895502963,NA,NA,NA,NS
PCODGA,USA-NMFS-GA,Pacific cod Gulf of Alaska,USA,US Alaska,0.895502963,NA,NA,NA,NS
PCODHOKK,Japan-FAJ-HOKK,Pacific cod Hokkaido,Japan,Russia Japan,1.025237182,NA,NA,NA,NS
PCODHS,Canada-DFO-HS,Pacific cod Hecate Strait,Canada,Canada West Coast,0.85047205,3313.1,15.01339486,12.7684727,NS
PCODNPAC,Japan-FAJ-NPAC,Pacific cod North Pacific,Japan,Russia Japan,1.025237182,188097.77,19.05247244,19.53330315,NS
PCODSOJ,Japan-FAJ-SOJ,Pacific cod Sea of Japan,Japan,Russia Japan,1.025237182,NA,NA,NA,NS
PCODWCVANI,Canada-DFO-WCVANI,Pacific cod West Coast of Vancouver Island,Canada,Canada West Coast,0.85047205,NA,NA,NA,NS
PERCHEBSAI,USA-NMFS-EBSAI,Pacific Ocean perch Eastern Bering Sea and Aleutian Islands,USA,US Alaska,0.895502963,NA,NA,NA,NS
PERCHQCI,Canada-DFO-QCI,Pacific Ocean perch Haida Gwaii,Canada,Canada West Coast,0.85047205,1488,14.21294349,12.08771119,NS
PERCHWCVANI,Canada-DFO-WCVANI,Pacific Ocean perch West Coast of Vancouver Island,Canada,Canada West Coast,0.85047205,1048,13.86239414,11.78957876,NS
PHAKEPCOAST,USA-NMFS-PCOAST,Pacific hake Pacific Coast,USA,US West Coast,0.895502963,406000,19.82186372,17.7505377,LC
PHALNPAC,multinational-IPHC-NPAC,Pacific halibut North Pacific,multinational,N Pacific Ocean,1.272890706,NA,NA,NA,NS
PHFLOUNNHOKK,Japan-FAJ-NHOKK,Pointhead flounder North coast of Hokkaido,Japan,Russia Japan,1.025237182,NA,NA,NA,NS
PHFLOUNSOJ,Japan-FAJ-SOJ,Pointhead flounder Sea of Japan,Japan,Russia Japan,1.025237182,2961.814499,14.90131264,15.27737978,NS
PICAMEDGSA25,multinational-GFCM-GSA25,Picarel Cyprus Island,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
PILCHPJPN,Japan-FAJ-PJPN,Japanese sardine Pacific Coast of Japan,Japan,Russia Japan,1.025237182,175942.4024,18.98566724,19.46481198,NS
PILCHTSST,Japan-FAJ-TSST,Japanese sardine Tsushima Strait,Japan,Russia Japan,1.025237182,53011.80649,17.78602521,18.23489436,NS
PINKSHRIMPGM,USA-NMFS-GM,Pink shrimp Gulf of Mexico,USA,US Southeast and Gulf,0.895502963,NA,NA,NA,NS
PLAIC2123,multinational-ICES-2123,European Plaice Subdivisions 21-23,multinational,European Union,2.038476184,NA,NA,NA,NS
PLAIC7d,multinational-ICES-VIId,European Plaice ICES VIId,multinational,European Union,2.038476184,NA,NA,NA,NS
PLAICCELT,multinational-ICES-VIIf-g,European Plaice ICES VIIf-g,multinational,European Union,2.038476184,NA,NA,NA,NS
PLAICECHW,multinational-ICES-VIIe,European Plaice ICES VIIe,multinational,European Union,2.038476184,NA,NA,NA,NS
PLAICIS,multinational-ICES-VIIa,European Plaice Irish Sea,multinational,European Union,2.038476184,NA,NA,NA,NS
PLAICNS,multinational-ICES-IV,European Plaice North Sea,multinational,European Union,2.038476184,NA,NA,NA,NS
PLAICVIIh-k,multinational-ICES-VIIh-k,European Plaice VIIh-k,multinational,European Union,2.038476184,NA,NA,NA,NS
POLL5YZ,USA-NMFS-5YZ,Pollock NAFO-5YZ,USA,US East Coast,0.895502963,19678,16.79501182,15.03998285,NS
POLLFAPL,multinational-ICES-Vb1,Pollock Faroe Plateau,multinational,Europe non EU,1.440764411,NA,NA,NA,NS
POLLIEG,multinational-ICES-Va,Pollock Iceland Grounds,multinational,Europe non EU,1.440764411,65000,17.98989783,25.91920455,NS
POLLNEAR,multinational-ICES-I-II,Pollock Northeast Arctic,multinational,Europe non EU,1.440764411,NA,NA,NA,NS
