stockid,areaid,stocklong,region
NSHRIMPNCH,Chile-SUBPESCA-CH-N,Nylon shrimp Northern Chile,South America
NZLINGESE,Australia-AFMA-SE,New Zealand ling Eastern half of Southeast Australia,Australia
NZLINGLIN3-4,New Zealand-MFish-LIN3-4,New Zealand ling New Zealand Areas LIN 3 and 4,New Zealand
NZLINGLIN5-6,New Zealand-MFish-LIN5-6,New Zealand ling New Zealand Areas LIN 5 and 6,New Zealand
NZLINGLIN6b,New Zealand-MFish-LIN6b,New Zealand ling New Zealand Area LIN 6b,New Zealand
NZLINGLIN72,New Zealand-MFish-LIN72,New Zealand ling New Zealand Area LIN 72,New Zealand
NZLINGLIN7WC,New Zealand-MFish-LIN7WC-WCSI,New Zealand ling New Zealand Area LIN 7WC - WCSI,New Zealand
NZLINGWSE,Australia-AFMA-WSE,New Zealand ling Western half of Southeast Australia,Australia
NZSNAPNZ1BOP-HAGU,New Zealand-MFish-SNA1-BOP-HAGU,New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,New Zealand
NZSNAPNZ1ENLD,New Zealand-MFish-SNA-1-ENLD,New Zealand snapper New Zealand SNA 1 east Northland,New Zealand
NZSNAPNZ7,New Zealand-MFish-SNA-7,New Zealand snapper New Zealand SNA 7,New Zealand
NZSNAPNZ8,New Zealand-MFish-8,New Zealand snapper New Zealand Area 8,New Zealand
OCTOWA,multinational-FAO-WA,Octopus West Africa,West Africa
OFLOUNECS,Japan-FAJ-ECS,Japanese flounder East China Sea,Russia Japan
OFLOUNNSJ,Japan-FAJ-NSJ,Japanese flounder Sea of Japan North,Russia Japan
OFLOUNPAC,Japan-FAJ-PAC,Japanese flounder Pacific Ocean,Russia Japan
OFLOUNSETO,Japan-FAJ-SETO,Japanese flounder Inland Sea of Japan,Russia Japan
OPOUTNWATLC,USA-NMFS-NWATLC,Ocean pout Northwestern Atlantic Coast,US East Coast
OROUGHYCASCADE,Australia-AFMA-CASCADE,Orange roughy Cascade Plateau,Australia
OROUGHYCH,multinational-SPRFMO-CH,Orange roughy Chile,South America
OROUGHYCR,New Zealand-MFish-CR,Orange roughy Chatham Rise,New Zealand
OROUGHYESCR,New Zealand-MFish-ESCR,Orange roughy East and South Chatham Rise,New Zealand
OROUGHYNEATL,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Orange roughy Northeast Atlantic,European Union
OROUGHYNWCR,New Zealand-MFish-NWCR,Orange roughy Northwest Chatham Rise,New Zealand
OROUGHYNZ7A,New Zealand-MFish-NZ7A,Orange roughy New Zealand Challenger Plateau,New Zealand
OROUGHYNZMEC,New Zealand-MFish-NZMEC,Orange roughy New Zealand Mid East Coast,New Zealand
OROUGHYSE,Australia-AFMA-SE,Orange roughy Southeast Australia,Australia
PACBTUNA,multinational-ISC-PAC,Pacific bluefin tuna Pacific Ocean,Pacific Ocean
PANCHCCH,Chile-SUBPESCA-CH-C,Peruvian Anchoveta Central Chile,South America
PANCHCHVX,Chile-SUBPESCA-V-X,Peruvian Anchoveta Chile Region V-X,South America
PANCHCSCH,Chile-SUBPESCA-CH-CS,Peruvian Anchoveta Central-Southern Chile,South America
PANCHNCH,Chile-SUBPESCA-NCH,Peruvian Anchoveta North Chile,South America
PANCHNCHSP,Chile-SUBPESCA-NCH-SP,Peruvian Anchoveta Northern Chile Southern Peru,South America
PANCHPERUNC,Peru-IMARPE-NC,Peruvian anchoveta North-Central Peru,South America
PANCHSCH,Chile-SUBPESCA-SCH,Peruvian Anchoveta South Chile,South America
PANDAL2G-3K,Canada-DFO-2G-3K,Northern shrimp NAFO Divisions 2G-3K,Canada East Coast
PANDAL4RST,Canada-DFO-4RST,Northern shrimp Canada-DFO-4RST,Canada East Coast
PANDALGOM,USA-NMFS-5Y,Northern shrimp Gulf of Maine,US East Coast
PANDALICBC,Canada-DFO-ICBC,Northern shrimp Inshore Coast of British Columbia,Canada West Coast
PANDALI-II,multinational-ICES-I-II,Northern shrimp North-East Arctic,Europe non EU
PANDALIIIaW-IVaE,multinational-ICES-IIIaW-IVaE,Northern shrimp IIIa (west) and IVa (east),European Union
PANDALIVa,multinational-ICES-IVa,Northern shrimp Northern North Sea,European Union
PANDALSFA13-15,Canada-DFO-SFA13-15,Northern shrimp Eastern Scotian Shelf (SFA 13-15),Canada East Coast
PANDALSFA2-3,Canada-DFO-SFA2-3,Northern shrimp Shrimp Fishing Areas 2-3,Canada East Coast
PANDALSFA4,Canada-DFO-SFA4,Northern shrimp SFA 4,Canada East Coast
PANDALSFA5,Canada-DFO-SFA5,Northern shrimp SFA 5,Canada East Coast
PANDALSFA6,Canada-DFO-SFA6,Northern shrimp SFA 6,Canada East Coast
PANDALSMA14,Canada-DFO-SMA-14,Northern shrimp SMA 14,Canada West Coast
PANDALSMA16,Canada-DFO-SMA-16,Northern shrimp SMA 16,Canada West Coast
PANDALSMA18-19,Canada-DFO-SMA-18-19,Northern shrimp SMA 18-19,Canada West Coast
PANDALSMAFR,Canada-DFO-SMA-FR,Northern shrimp SMA FR,Canada West Coast
PANDALSMAGTSE,Canada-DFO-SMA-GTSE,Northern shrimp SMA GTSE,Canada West Coast
PANDALSMAPRD,Canada-DFO-SMA-PRD,Northern shrimp SMA PRD,Canada West Coast
PATGRENADIERCH,Chile-SUBPESCA-CH-CS,Patagonian grenadier Chile,South America
PATGRENADIERSARG,Argentina-CFP-ARG-S,Patagonian grenadier Southern Argentina,South America
PAUANPAU5A,New Zealand-MFish-NPAU5A,Black Foot Paua NZ North PAUA5A,New Zealand
PAUAPAU5B,New Zealand-MFish-PAU5B,New Zealand abalone species New Zealand Area PAU 5B,New Zealand
PAUAPAU5D,New Zealand-MFish-PAU5D,New Zealand abalone species New Zealand Area PAU 5D,New Zealand
PAUAPAU7,New Zealand-MFish-PAU7,New Zealand abalone species New Zealand Area PAU 7,New Zealand
PAUASPAU5A,New Zealand-MFish-SPAU5A,Black Foot Paua NZ South PAUA5A,New Zealand
PCEELARGS,Argentina-CFP-ARG-S,Pink Cusk-eel Southern Argentina,South America
PCEELCH,Chile-SUBPESCA-CH-CS,Pink Cusk-eel Chile,South America
PCEELCSCH,Chile-SUBPESCA-CH-CS,Pink cusk-eel Central-Southern Chile,South America
PCEELSCH,Chile-SUBPESCA-CH-S,Pink cusk-eel Southern Chile,South America
PCOD5AB,Canada-DFO-5AB,Pacific cod Queen Charlotte Sound,Canada West Coast
PCODAI,USA-NMFS-AI,Pacific cod Aleutian Islands,US Alaska
PCODBS,USA-NMFS-BS,Pacific cod Bering Sea,US Alaska
PCODBSAI,USA-NMFS-BSAI,Pacific cod Bering Sea and Aleutian Islands,US Alaska
PCODGA,USA-NMFS-GA,Pacific cod Gulf of Alaska,US Alaska
PCODHOKK,Japan-FAJ-HOKK,Pacific cod Hokkaido,Russia Japan
PCODHS,Canada-DFO-HS,Pacific cod Hecate Strait,Canada West Coast
PCODNPAC,Japan-FAJ-NPAC,Pacific cod North Pacific,Russia Japan
PCODSOJ,Japan-FAJ-SOJ,Pacific cod Sea of Japan,Russia Japan
PCODWCVANI,Canada-DFO-WCVANI,Pacific cod West Coast of Vancouver Island,Canada West Coast
PERCHEBSAI,USA-NMFS-EBSAI,Pacific Ocean perch Eastern Bering Sea and Aleutian Islands,US Alaska
PERCHQCI,Canada-DFO-QCI,Pacific Ocean perch Haida Gwaii,Canada West Coast
PERCHWCVANI,Canada-DFO-WCVANI,Pacific Ocean perch West Coast of Vancouver Island,Canada West Coast
PGEODWA,USA-WASTATE-WA,Pacific Geoduck Washington,US West Coast
PHAKEPCOAST,USA-NMFS-PCOAST,Pacific hake Pacific Coast,US West Coast
PHALNPAC,multinational-IPHC-NPAC,Pacific halibut North Pacific,US Alaska
PHFLOUNNHOKK,Japan-FAJ-NHOKK,Pointhead flounder North coast of Hokkaido,Russia Japan
PHFLOUNSOJ,Japan-FAJ-SOJ,Pointhead flounder Sea of Japan,Russia Japan
PICAMEDGSA25,multinational-GFCM-GSA25,Picarel Cyprus Island,Mediterranean-Black Sea
PILCHPJPN,Japan-FAJ-PJPN,Japanese sardine Pacific Coast of Japan,Russia Japan
PILCHTSST,Japan-FAJ-TSST,Japanese sardine Tsushima Strait,Russia Japan
PINKSHRIMPGM,USA-NMFS-GM,Pink shrimp Gulf of Mexico,US Southeast and Gulf
PLAIC2123,multinational-ICES-2123,European Plaice Subdivisions 21-23,European Union
PLAIC2432,multinational-ICES-2432,European Plaice Subdivisions 24-32,European Union
PLAIC7d,multinational-ICES-VIId,European Plaice ICES VIId,European Union
PLAICCELT,multinational-ICES-VIIf-g,European Plaice ICES VIIf-g,European Union
PLAICECHW,multinational-ICES-VIIe,European Plaice ICES VIIe,European Union
PLAICIIIa,multinational-ICES-IIIa,European Plaice ICES IIIa,European Union
PLAICIS,multinational-ICES-VIIa,European Plaice Irish Sea,European Union
PLAICNS,multinational-ICES-IV,European Plaice North Sea,European Union
PLAICVIIbc,multinational-ICES-VIIbc,European Plaice VIIbc,European Union
PLAICVIIh-k,multinational-ICES-VIIh-k,European Plaice VIIh-k,European Union
PLAICVIII-IXa,multinational-ICES-VIII-IXa,European Plaice VIII and IXa,European Union
POLL3Ps,Canada-DFO-3Ps,Pollock St. Pierre Bank,Canada East Coast
POLL4VWX,Canada-DFO-4VWX,Pollock Scotian Shelf and Bay of Fundy,Canada East Coast
POLL4VWX5,Canada-DFO-4VWX5,Pollock NAFO-4VWX5,Canada East Coast
POLL5YZ,USA-NMFS-5YZ,Pollock NAFO-5YZ,US East Coast
POLLFAPL,multinational-ICES-Vb1,Pollock Faroe Plateau,Europe non EU
POLLIEG,multinational-ICES-Va,Pollock Iceland Grounds,Europe non EU
POLLNEAR,multinational-ICES-I-II,Pollock Northeast Arctic,Europe non EU
POLLNS-VI-IIIa,multinational-ICES-IIIa-IV-VI,"Pollock ICES IIIa, VI and North Sea",European Union
POPERCHGA,USA-NMFS-GA,Pacific ocean perch Gulf of Alaska,US Alaska
POPERCHPCOAST,USA-NMFS-PCOAST,Pacific ocean perch Pacific Coast,US West Coast
PORSHARATL,Canada-DFO-ATL,Porbeagle shark Atlantic Ocean,Canada East Coast
PORSHARNEATL,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Porbeagle shark Northeast Atlantic,European Union
PRCODMEDGSA9,multinational-GFCM-GSA9,Poor cod Ligurian and North Tyrrhenian Sea,Mediterranean-Black Sea
PSALMA1,Canada-DFO-A1,Pink Salmon Area 1,Canada West Coast (Pacific Salmon)
PSALMA10,Canada-DFO-A10,Pink Salmon Area 10,Canada West Coast (Pacific Salmon)
PSALMA12,Canada-DFO-A12,Pink Salmon Area 12,Canada West Coast (Pacific Salmon)
PSALMA13,Canada-DFO-A13,Pink Salmon Area 13,Canada West Coast (Pacific Salmon)
PSALMA21-27,Canada-DFO-A21-27,Pink Salmon Area21-27,Canada West Coast (Pacific Salmon)
PSALMA2E,Canada-DFO-A2E,Pink Salmon Area 2E,Canada West Coast (Pacific Salmon)
PSALMA2W,Canada-DFO-A2W,Pink Salmon Area 2W,Canada West Coast (Pacific Salmon)
PSALMA3,Canada-DFO-A3,Pink Salmon Area 3,Canada West Coast (Pacific Salmon)
PSALMA4,Canada-DFO-A4,Pink Salmon Area 4,Canada West Coast (Pacific Salmon)
PSALMA5,Canada-DFO-A5,Pink Salmon Area 5,Canada West Coast (Pacific Salmon)
PSALMA6,Canada-DFO-A6,Pink Salmon Area 6,Canada West Coast (Pacific Salmon)
PSALMA7,Canada-DFO-A7,Pink Salmon Area 7,Canada West Coast (Pacific Salmon)
PSALMA8,Canada-DFO-A8,Pink Salmon Area 8,Canada West Coast (Pacific Salmon)
PSALMA9,Canada-DFO-A9,Pink Salmon Area 9,Canada West Coast (Pacific Salmon)
PSALMAFFLECKCI,USA-AKSTATE-AFFLECKCI,Pink Salmon Affleck Cl (District105),US Alaska (Pacific Salmon)
PSALMAFOGNAKD,USA-AKSTATE-AFOGNAKD,Pink Salmon Afognak District,US Alaska (Pacific Salmon)
PSALMAIALIKL,USA-AKSTATE-AIALIKL,Pink Salmon Aialik Lagoon (Eastern D),US Alaska (Pacific Salmon)
PSALMAKPNWD,USA-AKSTATE-AKPNWD,Pink Salmon AK Pen Northwestern District,US Alaska (Pacific Salmon)
PSALMAKPSESCD,USA-AKSTATE-AKPSESCD,Pink Salmon AK Pen Southeast and South-central Districts,US Alaska (Pacific Salmon)
PSALMAKPSWUD,USA-AKSTATE-AKPSWUD,Pink Salmon AK Pen Southwest and Unimak Districts,US Alaska (Pacific Salmon)
PSALMALITAKD,USA-AKSTATE-ALITAKD,Pink Salmon Alitak District,US Alaska (Pacific Salmon)
PSALMAMAKC,USA-AKSTATE-AMAKC,Pink Salmon Amakdedori Creek (Kamishak D),US Alaska (Pacific Salmon)
PSALMAMURPW,Russia-TINRO-AMURPW,Pink Salmon Amur pink wild,Russia Japan (Pacific Salmon)
PSALMANADYRPW,Russia-TINRO-ANADYRPW,Pink Salmon Anadyr pink wild,Russia Japan (Pacific Salmon)
PSALMANAN,USA-AKSTATE-ANAN,Pink Salmon Anan (District107),US Alaska (Pacific Salmon)
PSALMATNARKO,Canada-DFO-ATNARKO,Pink Salmon Atnarko (Area 8),Canada West Coast (Pacific Salmon)
PSALMAUKEC,USA-AKSTATE-AUKEC,Pink Salmon Auke Creek (Northern Inside),US Alaska (Pacific Salmon)
PSALMBARABARA,USA-AKSTATE-BARABARA,Pink Salmon Barabara (Southern D),US Alaska (Pacific Salmon)
PSALMBARANOFE,USA-AKSTATE-BARANOFE,Pink Salmon Baranof E (District109),US Alaska (Pacific Salmon)
PSALMBKAMISHAKR,USA-AKSTATE-BKAMISHAKR,Pink Salmon Big Kamishak River  (Kamishak D),US Alaska (Pacific Salmon)
PSALMBONDS,Canada-DFO-BONDS,Pink Salmon BondSound (Area 12),Canada West Coast (Pacific Salmon)
PSALMBRUINR,USA-AKSTATE-BRUINR,Pink Salmon Bruin River (Kamishak D),US Alaska (Pacific Salmon)
PSALMBURNETT,USA-AKSTATE-BURNETT,Pink Salmon Burnett (District106),US Alaska (Pacific Salmon)
PSALMBURR,Canada-DFO-BURR,Pink Salmon Burrard,Canada West Coast (Pacific Salmon)
PSALMBUTEI,Canada-DFO-BUTEI,Pink Salmon Bute Inlt (Area 13),Canada West Coast (Pacific Salmon)
PSALMBWLAB,Canada-DFO-BWLAB,Pink Salmon BetwLoandBte (Area 13),Canada West Coast (Pacific Salmon)
PSALMCHIGNIKBD,USA-AKSTATE-CHIGNIKBD,Pink Salmon Chignik Bay District,US Alaska (Pacific Salmon)
PSALMCHIGNIKCD,USA-AKSTATE-CHIGNIKCD,Pink Salmon Chignik Central District,US Alaska (Pacific Salmon)
PSALMCHIGNIKED,USA-AKSTATE-CHIGNIKED,Pink Salmon Chignik Eastern District,US Alaska (Pacific Salmon)
PSALMCHIGNIKWD,USA-AKSTATE-CHIGNIKWD,Pink Salmon Chignik Western District,US Alaska (Pacific Salmon)
PSALMCHINAP,USA-AKSTATE-CHINAP,Pink Salmon China Poot (Southern D),US Alaska (Pacific Salmon)
PSALMCHV,Canada-DFO-CHV,Pink Salmon Ch/Vedder,Canada West Coast (Pacific Salmon)
PSALMCOGHILLD,USA-AKSTATE-COGHILLD,Pink Salmon Coghill District,US Alaska (Pacific Salmon)
PSALMDOGFISH,USA-AKSTATE-DOGFISH,Pink Salmon Dogfish (Southern D),US Alaska (Pacific Salmon)
PSALMDOSEWHC,USA-WASTATE-DOSEWHC,Pink Salmon Dosewallips (Hood Canal),US West Coast (Pacific Salmon)
PSALMDUCKA,USA-WASTATE-DUCKA,Pink Salmon Duckabush (Hood Canal),US West Coast (Pacific Salmon)
PSALMDUNGENHC,USA-WASTATE-DUNGENHC,Pink Salmon Dungeness (Juan de Fuca),US West Coast (Pacific Salmon)
PSALMEBEHM,USA-AKSTATE-EBEHM,Pink Salmon EBehm (District 101),US Alaska (Pacific Salmon)
PSALMEDALL,USA-AKSTATE-EDALL,Pink Salmon EDall (District103),US Alaska (Pacific Salmon)
PSALMEKAMPW,Russia-TINRO-EKAMPW,Pink Salmon East Kamchatka pink wild,Russia Japan (Pacific Salmon)
PSALMELIZAH,USA-AKSTATE-ELIZAH,Pink Salmon Eliza Hbr (District109),US Alaska (Pacific Salmon)
PSALMESAKPH,Russia-TINRO-ESAKPH,Pink Salmon East Sakhalin pink hatchery,Russia Japan (Pacific Salmon)
PSALMESAKPW,Russia-TINRO-ESAKPW,Pink Salmon East Sakhalin pink wild,Russia Japan (Pacific Salmon)
PSALMESHAMYD,USA-AKSTATE-ESHAMYD,Pink Salmon Eshamy District,US Alaska (Pacific Salmon)
PSALMESND,USA-AKSTATE-ESND,Pink Salmon Eastside-Northend District,US Alaska (Pacific Salmon)
PSALMFARRAGUT,USA-AKSTATE-FARRAGUT,Pink Salmon Farragut (District110),US Alaska (Pacific Salmon)
PSALMFRESHWB,USA-AKSTATE-FRESHWB,Pink Salmon Freshw By (District112),US Alaska (Pacific Salmon)
PSALMGEOHOWE,Canada-DFO-GEOHOWE,Pink Salmon GeorgiaHowe (Area 16),Canada West Coast (Pacific Salmon)
PSALMGOLOVIN,USA-AKSTATE-GOLOVIN,Pink Salmon Golovin (Norton Sound),US Alaska (Pacific Salmon)
PSALMHARR,Canada-DFO-HARR,Pink Salmon Harrison,Canada West Coast (Pacific Salmon)
PSALMHETTA,USA-AKSTATE-HETTA,Pink Salmon Hetta (District103),US Alaska (Pacific Salmon)
PSALMHHAMMAHC,USA-WASTATE-HHAMMAHC,Pink Salmon Hamma Hamma (Hood Canal),US West Coast (Pacific Salmon)
PSALMHOMES,USA-AKSTATE-HOMES,Pink Salmon Homeshor (District114),US Alaska (Pacific Salmon)
PSALMHOMFROY,Canada-DFO-HOMFROY,Pink Salmon Homfroy C (Area 15),Canada West Coast (Pacific Salmon)
PSALMHOOKC,Canada-DFO-HOOKC,Pink Salmon Hooknose Creek,Canada West Coast (Pacific Salmon)
PSALMHOONAHS,USA-AKSTATE-HOONAHS,Pink Salmon Hoonah S (District113),US Alaska (Pacific Salmon)
PSALMHOUGHTON,USA-AKSTATE-HOUGHTON,Pink Salmon Houghton (District110),US Alaska (Pacific Salmon)
PSALMHSPH,Japan-FAJ-HSPH,Pink Salmon Japan High Seas catch pink hatchery,Russia Japan (Pacific Salmon)
PSALMHSPW,Japan-FAJ-HSPW,Pink Salmon Japan High Seas catch pink wild,Russia Japan (Pacific Salmon)
PSALMHUMPCY,USA-AKSTATE-HUMPCY,Pink Salmon Humpy Creek (Yakutat),US Alaska (Pacific Salmon)
PSALMHUMPYCCISD,USA-AKSTATE-HUMPYCCISD,Pink Salmon Humpy Creek (Cook Inlet Southern D),US Alaska (Pacific Salmon)
PSALMIGUSHIK,USA-AKSTATE-IGUSHIK,Pink Salmon Igushik River,US Alaska (Pacific Salmon)
PSALMJAMESLOD,USA-AKSTATE-JAMESLOD,Pink Salmon James Lagoon (Outer D),US Alaska (Pacific Salmon)
PSALMJCPH,Japan-FAJ-JCPH,Pink Salmon Japan coastal pink hatchery,Russia Japan (Pacific Salmon)
PSALMJCPW,Japan-FAJ-JCPW,Pink Salmon Japan coastal pink wild,Russia Japan (Pacific Salmon)
PSALMJERVISI,Canada-DFO-JERVISI,Pink Salmon Jervis Inlet (Area 16),Canada West Coast (Pacific Salmon)
PSALMJOHNS,Canada-DFO-JOHNS,Pink Salmon JohnstoneSt (Area 12),Canada West Coast (Pacific Salmon)
PSALMJOHNST,Canada-DFO-JOHNST,Pink Salmon Johnst St (Area 13),Canada West Coast (Pacific Salmon)
PSALMKASAAN,USA-AKSTATE-KASAAN,Pink Salmon Kasaan (District102),US Alaska (Pacific Salmon)
PSALMKELPB,USA-AKSTATE-KELPB,Pink Salmon Kelp By (District112),US Alaska (Pacific Salmon)
PSALMKINGCOME,Canada-DFO-KINGCOME,Pink Salmon KingcomeInlet (Area 12),Canada West Coast (Pacific Salmon)
PSALMKLAWOCK,USA-AKSTATE-KLAWOCK,Pink Salmon Klawock (District103),US Alaska (Pacific Salmon)
PSALMKNIGHT,Canada-DFO-KNIGHT,Pink Salmon KnightInlet (Area 12),Canada West Coast (Pacific Salmon)
PSALMKODIAKMD,USA-AKSTATE-KODIAKMD,Pink Salmon Kodiak Mainland District,US Alaska (Pacific Salmon)
PSALMKODIAKWD,USA-AKSTATE-KODIAKWD,Pink Salmon Kodiak Westside District,US Alaska (Pacific Salmon)
PSALMKUSKOKWIM,USA-AKSTATE-KUSKOKWIM,Pink Salmon Kuskokwim,US Alaska (Pacific Salmon)
PSALMLISIANSKI,USA-AKSTATE-LISIANSKI,Pink Salmon Lisianski (District113),US Alaska (Pacific Salmon)
PSALMLKAMR,USA-AKSTATE-LKAMR,Pink Salmon Little Kamishak River (Kamishak D),US Alaska (Pacific Salmon)
PSALMLOUGHB,Canada-DFO-LOUGHB,Pink Salmon Loughb It (Area 13),Canada West Coast (Pacific Salmon)
PSALMLYNNCD112,USA-AKSTATE-LYNNCD112,Pink Salmon Lynn Cnl (District112),US Alaska (Pacific Salmon)
PSALMLYNNCD115,USA-AKSTATE-LYNNCD115,Pink Salmon Lynn Cnl (District115),US Alaska (Pacific Salmon)
PSALMMALAS,Canada-DFO-MALAS,Pink Salmon Malaspina (Area 15),Canada West Coast (Pacific Salmon)
PSALMMFRASE,Canada-DFO-MFRASE,Pink Salmon Main Fraser,Canada West Coast (Pacific Salmon)
PSALMMOIRA,USA-AKSTATE-MOIRA,Pink Salmon Moira (District102),US Alaska (Pacific Salmon)
PSALMMONTD,USA-AKSTATE-MONTD,Pink Salmon Montague District,US Alaska (Pacific Salmon)
PSALMMPNBNS,USA-AKSTATE-MPNBNS,Pink Salmon Moses Point and Norton Bay (Norton Sound),US Alaska (Pacific Salmon)
PSALMNCHICHAGO,USA-AKSTATE-NCHICHAGO,Pink Salmon Nchichago (District114),US Alaska (Pacific Salmon)
PSALMNISQPS,USA-WASTATE-NISQPS,Pink Salmon Nisqually (Puget Sound),US West Coast (Pacific Salmon)
PSALMNKINGCOME,Canada-DFO-NKINGCOME,Pink Salmon NearKingcome (Area 12),Canada West Coast (Pacific Salmon)
PSALMNOME,USA-AKSTATE-NOME,Pink Salmon Nome (Norton Sound),US Alaska (Pacific Salmon)
PSALMNOOKSPS,USA-WASTATE-NOOKSPS,Pink Salmon Nooksack (Puget Sound),US West Coast (Pacific Salmon)
PSALMNUNAKWIKD,USA-AKSTATE-NUNAKWIKD,Pink Salmon Northern/Unakwik District,US Alaska (Pacific Salmon)
PSALMNUSHAGAKR,USA-AKSTATE-NUSHAGAKR,Pink Salmon Nushagak River,US Alaska (Pacific Salmon)
PSALMOKPH,Russia-TINRO-OKPH,Pink Salmon Okhotsk pink hatchery,Russia Japan (Pacific Salmon)
PSALMOKPW,Russia-TINRO-OKPW,Pink Salmon Okhotsk pink wild,Russia Japan (Pacific Salmon)
PSALMPCHATHAM,USA-AKSTATE-PCHATHAM,Pink Salmon Port Chatham (Outer D),US Alaska (Pacific Salmon)
PSALMPDICK,USA-AKSTATE-PDICK,Pink Salmon Port Dick (Outer D),US Alaska (Pacific Salmon)
PSALMPERRYVILLED,USA-AKSTATE-PERRYVILLED,Pink Salmon Perryville District,US Alaska (Pacific Salmon)
PSALMPGRAHAMSD,USA-AKSTATE-PGRAHAMSD,Pink Salmon Port Graham (Southern D),US Alaska (Pacific Salmon)
PSALMPORTAGEB,USA-AKSTATE-PORTAGEB,Pink Salmon Portage B (District110),US Alaska (Pacific Salmon)
PSALMPORTLAND,USA-AKSTATE-PORTLAND,Pink Salmon Portland (District 101),US Alaska (Pacific Salmon)
PSALMPORTLOCK,USA-AKSTATE-PORTLOCK,Pink Salmon Portlock (District113),US Alaska (Pacific Salmon)
PSALMPRIMPW,Russia-TINRO-PRIMPW,Pink Salmon Primorye pink wild,Russia Japan (Pacific Salmon)
PSALMPUYALLUPPS,USA-WASTATE-PUYALLUPPS,Pink Salmon Puyallup (Puget Sound),US West Coast (Pacific Salmon)
PSALMPWSED,USA-AKSTATE-PWSED,Pink Salmon PWS Eastern District,US Alaska (Pacific Salmon)
PSALMPWSNWD,USA-AKSTATE-PWSNWD,Pink Salmon PWS Northwestern District,US Alaska (Pacific Salmon)
PSALMPWSSED,USA-AKSTATE-PWSSED,Pink Salmon PWS Southeastern District,US Alaska (Pacific Salmon)
PSALMPWSSWD,USA-AKSTATE-PWSSWD,Pink Salmon PWS Southwest District,US Alaska (Pacific Salmon)
PSALMPYBUSGA,USA-AKSTATE-PYBUSGA,Pink Salmon Pybus/Ga (District110),US Alaska (Pacific Salmon)
PSALMQUATR,Canada-DFO-QUATR,Pink Salmon Quatam R (Area 13),Canada West Coast (Pacific Salmon)
PSALMRATZH,USA-AKSTATE-RATZH,Pink Salmon Ratz Hbr (District106),US Alaska (Pacific Salmon)
PSALMRESB,USA-AKSTATE-RESB,Pink Salmon Resurrection Bay (Eastern D),US Alaska (Pacific Salmon)
PSALMROCKYROD,USA-AKSTATE-ROCKYROD,Pink Salmon Rocky River (Outer D),US Alaska (Pacific Salmon)
PSALMSAGINWB,USA-AKSTATE-SAGINWB,Pink Salmon Saginw By (District109),US Alaska (Pacific Salmon)
PSALMSAKP,USA-AKSTATE-SAKP,Pink Salmon South AK Peninsula w/o Chignik,US Alaska (Pacific Salmon)
PSALMSALISBURY,USA-AKSTATE-SALISBURY,Pink Salmon Salisbury (District113),US Alaska (Pacific Salmon)
PSALMSASHINCNI,USA-AKSTATE-SASHINCNI,Pink Salmon Sashin Creek (Northern Inside),US Alaska (Pacific Salmon)
PSALMSBPCKD,USA-AKSTATE-SBPCKD,Pink Salmon Sunday and Browns Peak Creek (Kamishak D),US Alaska (Pacific Salmon)
PSALMSEAOTTER,USA-AKSTATE-SEAOTTER,Pink Salmon SeaOtter (District103),US Alaska (Pacific Salmon)
PSALMSEBARAN,USA-AKSTATE-SEBARAN,Pink Salmon SE Baran (District109),US Alaska (Pacific Salmon)
PSALMSECHELT,Canada-DFO-SECHELT,Pink Salmon Sechelt It  (Area 16),Canada West Coast (Pacific Salmon)
PSALMSELDOVIAB,USA-AKSTATE-SELDOVIAB,Pink Salmon Seldovia Bay  (Southern D),US Alaska (Pacific Salmon)
PSALMSETONA,Canada-DFO-SETONA,Pink Salmon SetonArea,Canada West Coast (Pacific Salmon)
PSALMSEYMOUR,USA-AKSTATE-SEYMOUR,Pink Salmon Seymour (District111),US Alaska (Pacific Salmon)
PSALMSHAKTOOLIKNS,USA-AKSTATE-SHAKTOOLIKNS,Pink Salmon Shaktoolik (Norton Sound),US Alaska (Pacific Salmon)
PSALMSHIPLEY,USA-AKSTATE-SHIPLEY,Pink Salmon Shipley (District105),US Alaska (Pacific Salmon)
PSALMSITKAS,USA-AKSTATE-SITKAS,Pink Salmon Sitka Sd (District113),US Alaska (Pacific Salmon)
PSALMSITUKR,USA-AKSTATE-SITUKR,Pink Salmon Situk River,US Alaska (Pacific Salmon)
PSALMSKAGPS,USA-WASTATE-SKAGPS,Pink Salmon Skagit (Puget Sound),US West Coast (Pacific Salmon)
PSALMSKEENALR,Canada-DFO-SKEENALR,Pink Salmon Skeena/Lakelse River,Canada West Coast (Pacific Salmon)
PSALMSLIAMMON,Canada-DFO-SLIAMMON,Pink Salmon Sliammon (Area 15),Canada West Coast (Pacific Salmon)
PSALMSLOCUM,USA-AKSTATE-SLOCUM,Pink Salmon Slocum (District113),US Alaska (Pacific Salmon)
PSALMSNAKER,USA-AKSTATE-SNAKER,Pink Salmon Snake River,US Alaska (Pacific Salmon)
PSALMSNOHPS,USA-WASTATE-SNOHPS,Pink Salmon Snohomish (Puget Sound),US West Coast (Pacific Salmon)
